"Date/Time", "Heart Rate (bpm)"
"May 25, 2026 at 17:57:21", 103
"May 25, 2026 at 17:57:22", 104
"May 25, 2026 at 17:57:23", 104
"May 25, 2026 at 17:57:24", 104
"May 25, 2026 at 17:57:25", 104
"May 25, 2026 at 17:57:26", 104
"May 25, 2026 at 17:57:27", 103
"May 25, 2026 at 17:57:28", 104
"May 25, 2026 at 17:57:29", 104
"May 25, 2026 at 17:57:30", 104
"May 25, 2026 at 17:57:31", 105
"May 25, 2026 at 17:57:32", 105
"May 25, 2026 at 17:57:33", 105
"May 25, 2026 at 17:57:34", 104
"May 25, 2026 at 17:57:35", 104
"May 25, 2026 at 17:57:36", 104
"May 25, 2026 at 17:57:37", 102
"May 25, 2026 at 17:57:38", 102
"May 25, 2026 at 17:57:39", 100
"May 25, 2026 at 17:57:40", 97
"May 25, 2026 at 17:57:41", 96
"May 25, 2026 at 17:57:42", 96
"May 25, 2026 at 17:57:43", 96
"May 25, 2026 at 17:57:44", 94
"May 25, 2026 at 17:57:45", 93
"May 25, 2026 at 17:57:46", 92
"May 25, 2026 at 17:57:47", 93
"May 25, 2026 at 17:57:48", 95
"May 25, 2026 at 17:57:49", 95
"May 25, 2026 at 17:57:50", 96
"May 25, 2026 at 17:57:51", 96
"May 25, 2026 at 17:57:52", 95
"May 25, 2026 at 17:57:53", 96
"May 25, 2026 at 17:57:54", 96
"May 25, 2026 at 17:57:55", 96
"May 25, 2026 at 17:57:56", 96
"May 25, 2026 at 17:57:57", 95
"May 25, 2026 at 17:57:58", 96
"May 25, 2026 at 17:57:59", 96
"May 25, 2026 at 17:58:00", 96
"May 25, 2026 at 17:58:01", 96
"May 25, 2026 at 17:58:02", 95
"May 25, 2026 at 17:58:03", 95
"May 25, 2026 at 17:58:04", 96
"May 25, 2026 at 17:58:06", 97
"May 25, 2026 at 17:58:06", 97
"May 25, 2026 at 17:58:07", 97
"May 25, 2026 at 17:58:08", 98
"May 25, 2026 at 17:58:09", 98
"May 25, 2026 at 17:58:10", 97
"May 25, 2026 at 17:58:11", 97
"May 25, 2026 at 17:58:12", 96
"May 25, 2026 at 17:58:13", 96
"May 25, 2026 at 17:58:14", 96
"May 25, 2026 at 17:58:15", 94
"May 25, 2026 at 17:58:16", 94
"May 25, 2026 at 17:58:17", 95
"May 25, 2026 at 17:58:18", 95
"May 25, 2026 at 17:58:19", 95
"May 25, 2026 at 17:58:20", 94
"May 25, 2026 at 17:58:21", 95
"May 25, 2026 at 17:58:22", 96
"May 25, 2026 at 17:58:23", 95
"May 25, 2026 at 17:58:24", 95
"May 25, 2026 at 17:58:25", 95
"May 25, 2026 at 17:58:26", 95
"May 25, 2026 at 17:58:27", 94
"May 25, 2026 at 17:58:29", 94
"May 25, 2026 at 17:58:29", 93
"May 25, 2026 at 17:58:30", 93
"May 25, 2026 at 17:58:31", 93
"May 25, 2026 at 17:58:32", 92
"May 25, 2026 at 17:58:33", 92
"May 25, 2026 at 17:58:35", 92
"May 25, 2026 at 17:58:35", 92
"May 25, 2026 at 17:58:36", 92
"May 25, 2026 at 17:58:37", 92
"May 25, 2026 at 17:58:38", 93
"May 25, 2026 at 17:58:39", 93
"May 25, 2026 at 17:58:41", 94
"May 25, 2026 at 17:58:41", 93
"May 25, 2026 at 17:58:42", 91
"May 25, 2026 at 17:58:43", 91
"May 25, 2026 at 17:58:44", 91
"May 25, 2026 at 17:58:45", 90
"May 25, 2026 at 17:58:47", 90
"May 25, 2026 at 17:58:47", 90
"May 25, 2026 at 17:58:48", 89
"May 25, 2026 at 17:58:49", 89
"May 25, 2026 at 17:58:50", 89
"May 25, 2026 at 17:58:51", 89
"May 25, 2026 at 17:58:53", 91
"May 25, 2026 at 17:58:53", 93
"May 25, 2026 at 17:58:54", 93
"May 25, 2026 at 17:58:55", 93
"May 25, 2026 at 17:58:56", 93
"May 25, 2026 at 17:58:57", 93
"May 25, 2026 at 17:58:59", 93
"May 25, 2026 at 17:58:59", 93
"May 25, 2026 at 17:59:00", 93
"May 25, 2026 at 17:59:01", 93
"May 25, 2026 at 17:59:02", 93
"May 25, 2026 at 17:59:03", 94
"May 25, 2026 at 17:59:05", 95
"May 25, 2026 at 17:59:05", 98
"May 25, 2026 at 17:59:06", 98
"May 25, 2026 at 17:59:07", 99
"May 25, 2026 at 17:59:08", 99
"May 25, 2026 at 17:59:10", 99
"May 25, 2026 at 17:59:11", 99
"May 25, 2026 at 17:59:11", 97
"May 25, 2026 at 17:59:12", 96
"May 25, 2026 at 17:59:13", 96
"May 25, 2026 at 17:59:14", 94
"May 25, 2026 at 17:59:16", 94
"May 25, 2026 at 17:59:17", 93
"May 25, 2026 at 17:59:17", 93
"May 25, 2026 at 17:59:18", 94
"May 25, 2026 at 17:59:19", 94
"May 25, 2026 at 17:59:20", 94
"May 25, 2026 at 17:59:22", 94
"May 25, 2026 at 17:59:23", 94
"May 25, 2026 at 17:59:23", 94
"May 25, 2026 at 17:59:24", 95
"May 25, 2026 at 17:59:25", 93
"May 25, 2026 at 17:59:26", 93
"May 25, 2026 at 17:59:28", 93
"May 25, 2026 at 17:59:29", 93
"May 25, 2026 at 17:59:29", 92
"May 25, 2026 at 17:59:30", 92
"May 25, 2026 at 17:59:31", 93
"May 25, 2026 at 17:59:32", 94
"May 25, 2026 at 17:59:34", 96
"May 25, 2026 at 17:59:35", 98
"May 25, 2026 at 17:59:35", 98
"May 25, 2026 at 17:59:36", 98
"May 25, 2026 at 17:59:37", 99
"May 25, 2026 at 17:59:38", 100
"May 25, 2026 at 17:59:40", 102
"May 25, 2026 at 17:59:41", 104
"May 25, 2026 at 17:59:41", 107
"May 25, 2026 at 17:59:42", 110
"May 25, 2026 at 17:59:43", 112
"May 25, 2026 at 17:59:44", 113
"May 25, 2026 at 17:59:46", 113
"May 25, 2026 at 17:59:47", 112
"May 25, 2026 at 17:59:47", 108
"May 25, 2026 at 17:59:48", 108
"May 25, 2026 at 17:59:49", 108
"May 25, 2026 at 17:59:51", 105
"May 25, 2026 at 17:59:52", 105
"May 25, 2026 at 17:59:53", 105
"May 25, 2026 at 17:59:53", 105
"May 25, 2026 at 17:59:54", 105
"May 25, 2026 at 17:59:55", 105
"May 25, 2026 at 17:59:57", 103
"May 25, 2026 at 17:59:58", 100
"May 25, 2026 at 17:59:59", 97
"May 25, 2026 at 17:59:59", 97
"May 25, 2026 at 18:00:00", 95
"May 25, 2026 at 18:00:01", 94
"May 25, 2026 at 18:00:03", 95
